group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,tone_step,path,code
p_group,exposure,fill_word,Hole,NA,0,1,1,Hurl,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Hole_1.wav,61
p_group,exposure,fill_word,Horn,NA,0,1,1,Heel,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Horn_1.wav,62
p_group,exposure,fill_word,Jelly,NA,1,1,2,Jelly,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Jelly_2.wav,63
p_group,exposure,fill_word,Jewel,NA,0,0,0,Tribute,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Jewel_1.wav,64
p_group,exposure,fill_word,Lawyer,NA,0,0,0,Advice,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Lawyer_1.wav,65
p_group,exposure,fill_word,Layer,NA,1,1,2,Layer,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Layer_1.wav,66
p_group,exposure,fill_word,Learning,NA,1,1,2,Learning,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Learning_1.wav,67
p_group,exposure,fill_word,Low,NA,1,1,2,Low,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Low_1.wav,68
p_group,exposure,fill_word,Main,NA,0,1,1,Maid,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Main_1.wav,69
p_group,exposure,fill_word,Marine,NA,0,1,1,Mature,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Marine_1.wav,70
p_group,exposure,fill_word,Memory,NA,1,1,2,Memory,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Memory_1.wav,71
p_group,exposure,fill_word,Money,NA,1,1,2,Money,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Money_1.wav,72
p_group,exposure,fill_word,Name,NA,0,0,0,Favor,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Name_1.wav,73
p_group,exposure,fill_word,Narrow,NA,0,0,0,Ankle,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Narrow_1.wav,74
p_group,exposure,fill_word,Normal,NA,0,1,1,Nervous,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Normal_2.wav,75
p_group,exposure,fill_word,Nun,NA,1,1,2,Nun,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Nun_1.wav,76
p_group,exposure,fill_word,Phenomenon,NA,0,0,0,Replace,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Phenomenon_1.wav,77
p_group,exposure,fill_word,Rally,NA,0,0,0,Knowledge,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Rally_1.wav,78
p_group,exposure,fill_word,Range,NA,0,0,0,Spirit,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Range_1.wav,79
p_group,exposure_set,fill_word,Real,NA,1,1,2,Real,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Real_1.wav,80
p_group,exposure,fill_word,Reign,NA,0,0,0,Kettle,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Reign_1.wav,81
p_group,exposure,fill_word,Ring,NA,0,0,0,Retreat,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Ring_1.wav,82
p_group,exposure,fill_word,Roar,NA,1,1,2,Roar,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Roar_1.wav,83
p_group,exposure,fill_word,Royal,NA,0,1,1,Refund,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Royal_1.wav,84
p_group,exposure,fill_word,Ruin,NA,1,1,2,Ruin,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Ruin_1.wav,85
p_group,exposure,fill_word,Rumor,NA,1,1,2,Rumor,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Rumor_1.wav,86
p_group,exposure,fill_word,Runner,NA,0,1,1,River,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Runner_1.wav,87
p_group,exposure,fill_word,Sailor,NA,0,0,0,Mine,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Sailor_1.wav,88
p_group,exposure,fill_word,Seal,NA,0,0,0,Chorus,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Seal_1.wav,89
p_group,exposure,fill_word,Shell,NA,0,0,0,Major,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Shell_1.wav,90
p_group,exposure,fill_word,Similar,NA,0,1,1,Seminar,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Similar_1.wav,91
p_group,exposure,fill_word,Soil,NA,0,1,1,Spoil,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Soil_1.wav,92
p_group,exposure,fill_word,Valley,NA,0,0,0,Greeting,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Valley_1.wav,93
p_group,exposure,fill_word,Vary,NA,1,1,2,Vary,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Vary_1.wav,94
p_group,exposure,fill_word,Venue,NA,0,1,1,Vessel,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Venue_1.wav,95
p_group,exposure_set,fill_word,Violin,NA,1,1,2,Violin,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Violin_1.wav,96
p_group,exposure,fill_word,Volume,NA,0,0,0,Physical,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Volume_1.wav,97
p_group,exposure,fill_word,Sewer,NA,0,0,0,Layout,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Sewer_1.wav,98
p_group,exposure,fill_word,Swear,NA,0,0,0,Remark,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Swear_1.wav,99
p_group,exposure,fill_word,Throne,NA,1,1,2,Throne,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Throne_1.wav,100
p_group,test,BP_test,AAB_AAP_1_0,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,0,NA,audio/syllables_BP/AAB_AAP_1_0.wav,101
p_group,test,BP_test,AAB_AAP_1_3,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,3,NA,audio/syllables_BP/AAB_AAP_1_3.wav,102
p_group,test,BP_test,AAB_AAP_1_5,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,5,NA,audio/syllables_BP/AAB_AAP_1_5.wav,103
p_group,test,BP_test,AAB_AAP_1_7,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,7,NA,audio/syllables_BP/AAB_AAP_1_7.wav,104
p_group,test,BP_test,AAB_AAP_1_9,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,9,NA,audio/syllables_BP/AAB_AAP_1_9.wav,105
p_group,test,BP_test,AAB_AAP_1_10,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,10,NA,audio/syllables_BP/AAB_AAP_1_10.wav,106
p_group,test,BP_test,AAB_AAP_1_11,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,11,NA,audio/syllables_BP/AAB_AAP_1_11.wav,107
p_group,test,BP_test,AAB_AAP_1_13,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,13,NA,audio/syllables_BP/AAB_AAP_1_13.wav,108
p_group,test,BP_test,AAB_AAP_1_17,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,17,NA,audio/syllables_BP/AAB_AAP_1_17.wav,109
p_group,test,BP_test,AAB_AAP_1_23,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,23,NA,audio/syllables_BP/AAB_AAP_1_23.wav,110
p_group,test,BP_test,AAB_AAP_1_30,AA,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,30,NA,audio/syllables_BP/AAB_AAP_1_30.wav,111
p_group,test,BP_test,AHB_AHP_3_0,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,0,NA,audio/syllables_BP/AHB_AHP_3_0.wav,112
p_group,test,BP_test,AHB_AHP_3_3,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,3,NA,audio/syllables_BP/AHB_AHP_3_3.wav,113
p_group,test,BP_test,AHB_AHP_3_5,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,5,NA,audio/syllables_BP/AHB_AHP_3_5.wav,114
p_group,test,BP_test,AHB_AHP_3_7,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,7,NA,audio/syllables_BP/AHB_AHP_3_7.wav,115
p_group,test,BP_test,AHB_AHP_3_9,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,9,NA,audio/syllables_BP/AHB_AHP_3_9.wav,116
p_group,test,BP_test,AHB_AHP_3_10,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,10,NA,audio/syllables_BP/AHB_AHP_3_10.wav,117
p_group,test,BP_test,AHB_AHP_3_11,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,11,NA,audio/syllables_BP/AHB_AHP_3_11.wav,118
p_group,test,BP_test,AHB_AHP_3_13,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,13,NA,audio/syllables_BP/AHB_AHP_3_13.wav,119
p_group,test,BP_test,AHB_AHP_3_17,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,17,NA,audio/syllables_BP/AHB_AHP_3_17.wav,120
