group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path,code
control,test_onset,onset_syllable,BAA_PAA_3_15,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,15,audio/onset_syllables/BAA_PAA_3_15.wav,144
control,test_onset,onset_syllable,BAA_PAA_3_18,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,18,audio/onset_syllables/BAA_PAA_3_18.wav,145
control,test_onset,onset_syllable,BAA_PAA_3_20,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,20,audio/onset_syllables/BAA_PAA_3_20.wav,146
control,test_onset,onset_syllable,BAA_PAA_3_22,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,22,audio/onset_syllables/BAA_PAA_3_22.wav,147
control,test_onset,onset_syllable,BAA_PAA_3_24,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,24,audio/onset_syllables/BAA_PAA_3_24.wav,148
control,test_onset,onset_syllable,BAA_PAA_3_27,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,27,audio/onset_syllables/BAA_PAA_3_27.wav,149
control,test_onset,onset_syllable,BAA_PAA_3_30,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,30,audio/onset_syllables/BAA_PAA_3_30.wav,150
control,test_onset,onset_syllable,BAH_PAH_3_00,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,0,audio/onset_syllables/BAH_PAH_3_00.wav,151
control,test_onset,onset_syllable,BAH_PAH_3_05,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,5,audio/onset_syllables/BAH_PAH_3_05.wav,152
control,test_onset,onset_syllable,BAH_PAH_3_10,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,10,audio/onset_syllables/BAH_PAH_3_10.wav,153
control,test_onset,onset_syllable,BAH_PAH_3_15,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,15,audio/onset_syllables/BAH_PAH_3_15.wav,154
control,test_onset,onset_syllable,BAH_PAH_3_18,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,18,audio/onset_syllables/BAH_PAH_3_18.wav,155
control,test_onset,onset_syllable,BAH_PAH_3_20,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,20,audio/onset_syllables/BAH_PAH_3_20.wav,156
control,test_onset,onset_syllable,BAH_PAH_3_22,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,22,audio/onset_syllables/BAH_PAH_3_22.wav,157
control,test_onset,onset_syllable,BAH_PAH_3_24,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,24,audio/onset_syllables/BAH_PAH_3_24.wav,158
control,test_onset,onset_syllable,BAH_PAH_3_27,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,27,audio/onset_syllables/BAH_PAH_3_27.wav,159
control,test_onset,onset_syllable,BAH_PAH_3_30,AH,NA,NA,NA,NA,NA,2,23,B,P,NA,NA,30,audio/onset_syllables/BAH_PAH_3_30.wav,160
control,test_onset,onset_syllable,BIH_PIH_1_00,IH,NA,NA,NA,NA,NA,2,16,B,P,NA,NA,0,audio/onset_syllables/BIH_PIH_1_00.wav,161
control,test_onset,onset_syllable,BIH_PIH_1_05,IH,NA,NA,NA,NA,NA,2,16,B,P,NA,NA,5,audio/onset_syllables/BIH_PIH_1_05.wav,162
control,test_onset,onset_syllable,BIH_PIH_1_10,IH,NA,NA,NA,NA,NA,2,16,B,P,NA,NA,10,audio/onset_syllables/BIH_PIH_1_10.wav,163
control,test_onset,onset_syllable,BIH_PIH_1_15,IH,NA,NA,NA,NA,NA,2,16,B,P,NA,NA,15,audio/onset_syllables/BIH_PIH_1_15.wav,164
