index,group,phase,target,type,word_sel,nonword_sel,set,step,recording,path
185,B_group,exposure,Slomb,fill_nonword,Yes,No,Slomb,NA,1,Slomb_1.mp3
186,B_group,exposure,Smong,fill_nonword,Yes,No,Smong,NA,1,Smong_1.mp3
187,B_group,exposure,Snoll,fill_nonword,Yes,No,Snoll,NA,1,Snoll_1.mp3
188,B_group,exposure,Snyre,fill_nonword,Yes,No,Snyre,NA,1,Snyre_1.mp3
189,B_group,exposure,Somb,fill_nonword,Yes,No,Somb,NA,1,Somb_1.mp3
190,B_group,exposure,Thim,fill_nonword,Yes,No,Thim,NA,1,Thim_1.mp3
191,B_group,exposure,Threen,fill_nonword,Yes,No,Threen,NA,1,Threen_1.mp3
192,B_group,exposure,Vainyl,fill_nonword,Yes,No,Vainyl,NA,1,Vainyl_1.mp3
193,B_group,exposure,Vallon,fill_nonword,Yes,No,Vallon,NA,1,Vallon_1.mp3
194,B_group,exposure,Vunn,fill_nonword,Yes,No,Vunn,NA,1,Vunn_1.mp3
195,B_group,exposure,Werro,fill_nonword,Yes,No,Werro,NA,1,Werro_1.mp3
196,B_group,exposure,Winal,fill_nonword,Yes,No,Winal,NA,1,Winal_1.mp3
197,B_group,exposure,Woony,fill_nonword,Yes,No,Woony,NA,1,Woony_1.mp3
198,B_group,exposure,Wyan,fill_nonword,Yes,No,Wyan,NA,1,Wyan_1.mp3
199,B_group,exposure,Yorn,fill_nonword,Yes,No,Yorn,NA,1,Yorn_1.mp3
200,B_group,exposure,Ven,fill_nonword,Yes,No,Ven,NA,1,Ven_1.mp3
