index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,folder,path,path
108,P_group,left,exposure,Eamer,fill_nonword,Yes,No,Eamer,NA,1,nonword/,nonword/Eamer_1.mp3,Eamer_1.mp3
109,P_group,left,exposure,Eelam,fill_nonword,Yes,No,Eelam,NA,1,nonword/,nonword/Eelam_1.mp3,Eelam_1.mp3
110,P_group,left,exposure,Elammer,fill_nonword,Yes,No,Elammer,NA,1,nonword/,nonword/Elammer_1.mp3,Elammer_1.mp3
111,P_group,left,exposure,Enlow,fill_nonword,Yes,No,Enlow,NA,1,nonword/,nonword/Enlow_1.mp3,Enlow_1.mp3
112,P_group,left,exposure,Eynam,fill_nonword,Yes,No,Eynam,NA,1,nonword/,nonword/Eynam_1.mp3,Eynam_1.mp3
113,P_group,left,exposure,Fairdon,fill_nonword,Yes,No,Fairdon,NA,1,nonword/,nonword/Fairdon_1.mp3,Fairdon_1.mp3
114,P_group,left,exposure,Feen,fill_nonword,Yes,No,Feen,NA,1,nonword/,nonword/Feen_1.mp3,Feen_1.mp3
115,P_group,left,exposure,Felmy,fill_nonword,Yes,No,Felmy,NA,1,nonword/,nonword/Felmy_1.mp3,Felmy_1.mp3
116,P_group,left,exposure,Fime,fill_nonword,Yes,No,Fime,NA,1,nonword/,nonword/Fime_1.mp3,Fime_1.mp3
117,P_group,left,exposure,Finneran,fill_nonword,Yes,No,Finneran,NA,1,nonword/,nonword/Finneran_1.mp3,Finneran_1.mp3
118,P_group,left,exposure,Flangle,fill_nonword,Yes,No,Flangle,NA,1,nonword/,nonword/Flangle_1.mp3,Flangle_1.mp3
119,P_group,left,exposure,Fonnow,fill_nonword,Yes,No,Fonnow,NA,1,nonword/,nonword/Fonnow_1.mp3,Fonnow_1.mp3
120,P_group,left,exposure,Foon,fill_nonword,Yes,No,Foon,NA,1,nonword/,nonword/Foon_1.mp3,Foon_1.mp3
121,P_group,left,exposure,Hallen,fill_nonword,Yes,No,Hallen,NA,1,nonword/,nonword/Hallen_1.mp3,Hallen_1.mp3
122,P_group,left,exposure,Hame,fill_nonword,Yes,No,Hame,NA,1,nonword/,nonword/Hame_1.mp3,Hame_1.mp3
123,P_group,left,exposure,Harl,fill_nonword,Yes,No,Harl,NA,1,nonword/,nonword/Harl_1.mp3,Harl_1.mp3
124,P_group,left,exposure,Harn,fill_nonword,Yes,No,Harn,NA,1,nonword/,nonword/Harn_1.mp3,Harn_1.mp3
125,P_group,left,exposure,Harnomy,fill_nonword,Yes,No,Harnomy,NA,1,nonword/,nonword/Harnomy_1.mp3,Harnomy_1.mp3
126,P_group,left,exposure,Heln,fill_nonword,Yes,No,Heln,NA,1,nonword/,nonword/Heln_1.mp3,Heln_1.mp3
127,P_group,left,exposure,Hemmerle,fill_nonword,Yes,No,Hemmerle,NA,1,nonword/,nonword/Hemmerle_1.mp3,Hemmerle_1.mp3
128,P_group,left,exposure,Hemmery,fill_nonword,Yes,No,Hemmery,NA,1,nonword/,nonword/Hemmery_1.mp3,Hemmery_1.mp3
129,P_group,left,exposure,Heon,fill_nonword,Yes,No,Heon,NA,1,nonword/,nonword/Heon_1.mp3,Heon_1.mp3
130,P_group,left,exposure,Heyn,fill_nonword,Yes,No,Heyn,NA,1,nonword/,nonword/Heyn_1.mp3,Heyn_1.mp3
131,P_group,left,exposure,Hing,fill_nonword,Yes,No,Hing,NA,1,nonword/,nonword/Hing_1.mp3,Hing_1.mp3
132,P_group,left,exposure,Hino,fill_nonword,Yes,No,Hino,NA,1,nonword/,nonword/Hino_1.mp3,Hino_1.mp3
133,P_group,left,exposure,Hollin,fill_nonword,Yes,No,Hollin,NA,1,nonword/,nonword/Hollin_1.mp3,Hollin_1.mp3
134,P_group,left,exposure,Hoy,fill_nonword,Yes,No,Hoy,NA,1,nonword/,nonword/Hoy_1.mp3,Hoy_1.mp3
135,P_group,left,exposure,Hurn,fill_nonword,Yes,No,Hurn,NA,1,nonword/,nonword/Hurn_1.mp3,Hurn_1.mp3
136,P_group,left,exposure,Immel,fill_nonword,Yes,No,Immel,NA,1,nonword/,nonword/Immel_1.mp3,Immel_1.mp3
137,P_group,left,exposure,Jare,fill_nonword,Yes,No,Jare,NA,1,nonword/,nonword/Jare_1.mp3,Jare_1.mp3
138,P_group,left,exposure,Jeel,fill_nonword,Yes,No,Jeel,NA,1,nonword/,nonword/Jeel_1.mp3,Jeel_1.mp3
139,P_group,left,exposure,Jum,fill_nonword,Yes,No,Jum,NA,1,nonword/,nonword/Jum_1.mp3,Jum_1.mp3
140,P_group,left,exposure,Jurio,fill_nonword,Yes,No,Jurio,NA,1,nonword/,nonword/Jurio_1.mp3,Jurio_1.mp3
141,P_group,left,exposure,Lahm,fill_nonword,Yes,No,Lahm,NA,1,nonword/,nonword/Lahm_1.mp3,Lahm_1.mp3
142,P_group,left,exposure,Lail,fill_nonword,Yes,No,Lail,NA,1,nonword/,nonword/Lail_1.mp3,Lail_1.mp3
143,P_group,left,exposure,Lamurre,fill_nonword,Yes,No,Lamurre,NA,1,nonword/,nonword/Lamurre_1.mp3,Lamurre_1.mp3
144,P_group,left,exposure,Lar,fill_nonword,Yes,No,Lar,NA,1,nonword/,nonword/Lar_1.mp3,Lar_1.mp3
145,P_group,left,exposure,Larrow,fill_nonword,Yes,No,Larrow,NA,1,nonword/,nonword/Larrow_1.mp3,Larrow_1.mp3
146,P_group,left,exposure,Lemmela,fill_nonword,Yes,No,Lemmela,NA,1,nonword/,nonword/Lemmela_1.mp3,Lemmela_1.mp3
147,P_group,left,exposure,Lennim,fill_nonword,Yes,No,Lennim,NA,1,nonword/,nonword/Lennim_1.mp3,Lennim_1.mp3
148,P_group,left,exposure,Leonie,fill_nonword,Yes,No,Leonie,NA,1,nonword/,nonword/Leonie_1.mp3,Leonie_1.mp3
149,P_group,left,exposure,Lermie,fill_nonword,Yes,No,Lermie,NA,1,nonword/,nonword/Lermie_1.mp3,Lermie_1.mp3
150,P_group,left,exposure,Loanler,fill_nonword,Yes,No,Loanler,NA,1,nonword/,nonword/Loanler_1.mp3,Loanler_1.mp3
151,P_group,left,exposure,Loff,fill_nonword,Yes,No,Loff,NA,1,nonword/,nonword/Loff_1.mp3,Loff_1.mp3
152,P_group,left,exposure,Lum,fill_nonword,Yes,No,Lum,NA,1,nonword/,nonword/Lum_1.mp3,Lum_1.mp3
153,P_group,left,exposure,Mallon,fill_nonword,Yes,No,Mallon,NA,1,nonword/,nonword/Mallon_1.mp3,Mallon_1.mp3
154,P_group,left,exposure,Mang,fill_nonword,Yes,No,Mang,NA,1,nonword/,nonword/Mang_1.mp3,Mang_1.mp3
155,P_group,left,exposure,Mannow,fill_nonword,Yes,No,Mannow,NA,1,nonword/,nonword/Mannow_1.mp3,Mannow_1.mp3
156,P_group,left,exposure,Marn,fill_nonword,Yes,No,Marn,NA,1,nonword/,nonword/Marn_1.mp3,Marn_1.mp3
157,P_group,left,exposure,Mawen,fill_nonword,Yes,No,Mawen,NA,1,nonword/,nonword/Mawen_1.mp3,Mawen_1.mp3
158,P_group,left,exposure,Mawn,fill_nonword,Yes,No,Mawn,NA,1,nonword/,nonword/Mawn_1.mp3,Mawn_1.mp3
